PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
0,10777.4135820271,24386.7932970168,32552.6147943937,13940.3501981321,13813.4767177587,24607.5136815378,21525.6896295644,6281.6687857798,11334.2856630973,16524.8814527138,3505.4707931292,13671.3359059584,23770.1341684321,19862.1937840830,18616.7087917478,30580.4756030257,20532.1167699532,7544.0131531472,18076.8801012807,16914.5987457919,10290.9772271981,26290.0160454245,22399.1698749750,5192.1176507063,18009.2523382984,9602.6501901998,14585.1222583793,8767.0946282611,10267.7117041628,13997.1216683817
1,10433.4759493423,25516.1124784190,32372.2821977982,14182.3105179575,14942.4857372048,23898.2121384514,21767.5960914571,3877.4869667236,12392.0200358511,15504.9956407493,5348.4744269917,14298.3140196399,23496.5891173119,20786.6798540744,19823.1414489664,30087.3553249197,21099.4838091327,7924.2175154693,17552.1769150475,16875.8328063032,10102.2894530557,26317.5725015974,21457.9463411781,4816.8737702760,19122.5890822244,10813.5634269904,15273.0844616739,9116.7403663447,11199.4953050649,13268.8274941461
2,9540.6001742628,24721.0743301983,31186.7818082023,15321.8434725605,13098.0273988383,23640.3747629665,20071.2619417190,7239.5208487335,11922.9988511864,16050.4797171015,1491.4688832130,12305.2314110809,22454.9693481815,20655.4366351645,18548.6675401635,29402.5468901353,21718.6027661752,10167.8390251361,16945.4375742406,15506.8530858605,9963.9172358907,24859.2109995433,21755.0301108133,2987.5433501138,18412.2154547403,9443.8202398443,15684.7143428501,7315.0393354482,9168.1851599271,13089.3621166276
3,9208.1869897268,24501.7716301964,30659.6454281467,15905.4471673264,12385.5939358922,23512.6255066654,19342.2738064700,8692.1105680865,11899.3198430732,16280.6918309647,2379.1393930921,11463.0312593149,21998.6690503479,20732.6652232233,18120.6055806135,29086.0254888387,22093.9401983430,8435.7755973658,16689.6340669840,14925.3403869055,10312.0962194393,24224.4525373065,21863.4999812781,3072.8531260462,18246.4959902184,9011.3139516776,15999.0853202482,7486.7660401442,8337.4647622327,13036.4818892934
4,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5,7687.1115120031,26932.0260947567,29606.4066450687,16933.5862275794,14578.9977839122,21475.2150373318,19202.9620080091,5050.2797126540,14169.1322835833,13836.0577259198,4259.3596468499,12336.8055253405,20738.8326804034,22876.5250936684,20590.5343795168,27431.8205500582,23688.1553962726,9348.4259126711,14919.4823487542,14139.8728637387,7286.2316524866,23599.7164653079,19508.6817071936,904.1729797527,20642.4820244729,11483.2572420270,17742.6401891764,8976.6521182362,10096.3635002082,10888.2776014931
6,10486.0400572289,27427.2744620509,28472.7475775556,18048.3734318341,14402.3979596873,20601.7680945045,18094.2486363816,6552.6118340335,14865.4872094171,13414.3903506625,4617.8199712577,11485.2605859997,19624.6758898825,23667.3417159748,20839.0584560547,26404.0522869229,24704.9494345030,10462.7107507093,13919.3985438688,12991.8354242827,6948.7796560019,22452.7193505746,18906.2059087386,112.2675293111,21200.6682101016,11774.2433142279,18709.9507980806,7483.1743339946,9660.2424040296,10079.4893961251
7,9701.5430146783,27161.9646980603,27804.0903149866,18688.6911220250,13608.0895069723,20504.7707999815,17127.7489376139,8683.2329143885,14852.8702268218,13868.1141686236,4146.4355376747,10399.7241844451,19042.3608512032,23742.8153088876,20354.5223438752,26032.5815823768,25116.1012297909,11120.9811090374,13630.9186348529,12199.8249613779,8276.1724008549,21623.6951207995,19156.0069766207,20.7413649277,21012.4793246269,11367.1910900334,19046.8271236653,5464.3040580365,8725.0756223470,10125.8777198523
8,10888.6803195033,28825.6123161468,28897.5973336632,17937.2375634865,16332.5739427425,19954.4131222148,19302.2549870924,3420.8228961949,15976.7616139214,11944.5934838165,6749.1984244121,13286.1250068782,19907.6866714582,24588.6809678806,22507.8564738045,26227.5073520190,25032.6626722946,10422.3259347171,13687.2765305038,13796.1705701076,3862.0523840674,23273.4757843962,17699.0724573144,1790.0383233173,22516.5417297997,13402.2911224501,19214.2810756465,7544.5027157887,11635.9584845384,9325.3712497250
9,9273.8930168178,28037.7543760922,27928.3332733526,18621.9693026742,14793.5863958179,19949.0994420781,17755.9243959621,6743.0876588552,15511.3781938931,12843.5542866784,5748.9656164545,11462.7232294164,19050.9514069412,24319.1861807843,21386.0013890448,25775.2363334328,25335.0234403425,11036.9400002984,13281.1929154406,12520.2537909192,6126.0865971685,21995.2593736060,18284.4752040595,222.8124538588,21825.2152964154,12342.6999736564,19351.6160772215,7653.9817381716,9935.2681209907,9429.4997021176
10,8698.0588490389,25435.5526955893,30394.4107337445,16101.2086485306,13342.3127185692,22798.0381523317,19442.6303148186,6873.8057124752,12719.8034191267,15333.5314759786,1783.0252648131,11940.8950890454,21636.5661239636,21483.4012222942,19119.8894308863,28554.8674837214,22562.6115871942,8545.9035950178,16094.7449623635,14749.7310808947,9322.1465565996,24133.8704538648,20979.1593890860,1394.2486878347,19153.2122777836,10009.2463592991,16534.8156841678,8217.0265234176,9139.7134386843,12258.9626749040
11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12,18235.0693067227,50495.9550945019,20511.1581447600,41596.0109835868,34065.2380104269,5.8559866030,19655.2483633689,27383.5062782682,39023.1320600571,15211.0665494216,28789.5107104859,25320.4533136796,9854.3183734674,47965.0005957970,42696.0644257653,768.9777956954,48946.2865095386,34258.0698091383,10712.2055503029,16158.3983767092,20183.1127129504,15968.0638171273,6819.1543743793,23604.2166466169,44754.1838329465,34687.1748001842,43090.5725671241,23370.2853544235,28885.8304891453,14630.5572144001
13,8534.1599107520,27653.1361638971,27242.0590159834,19250.9316675245,13857.6059795473,19943.8462257945,16692.6376370715,9142.8508905279,15408.8133884830,13476.5955052385,5187.5580461053,10231.9481990559,18465.5522141286,24309.7203416467,20769.1712608268,25445.8195409078,25702.3853227223,11677.4307484324,13048.8877876858,11668.5427891055,7866.2520338427,21108.7101716496,18680.5751239355,97.2911803164,21527.6085016215,11822.8779316189,19633.7660899879,5393.9694649116,8864.2254670853,9601.8988478636
